epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,102.815,1.79067,1.09068,1.20237,0.71132,0.57781,0.56213,0.27211,3.02174,1.35355,1.20627,0.00111776,0.00111776,0.00111776
46,104.891,1.80168,1.10308,1.18118,0.81809,0.68852,0.70148,0.37628,2.44017,1.19048,1.06338,0.00111069,0.00111069,0.00111069
47,107.094,1.85736,1.11928,1.21179,0.77353,0.66597,0.67203,0.31313,2.57984,1.26765,1.06316,0.00110362,0.00110362,0.00110362
48,109.377,1.81954,1.08424,1.17206,0.81761,0.66924,0.72394,0.38532,2.40162,1.1657,1.06233,0.00109654,0.00109654,0.00109654
49,111.54,1.80761,1.06616,1.20716,0.81625,0.68175,0.71671,0.35526,2.55218,1.17321,1.07994,0.00108947,0.00108947,0.00108947
50,113.814,1.7654,1.05519,1.16402,0.79503,0.70368,0.71838,0.26494,2.56998,1.22508,1.08683,0.0010824,0.0010824,0.0010824
51,116.086,1.73623,1.04014,1.15225,0.84197,0.68098,0.68902,0.32521,2.55323,1.19736,1.07337,0.00107532,0.00107532,0.00107532
52,118.288,1.774,1.01226,1.12781,0.83809,0.69622,0.71232,0.31906,2.57527,1.18922,1.05993,0.00106825,0.00106825,0.00106825
53,120.588,1.74349,1.00138,1.13446,0.79733,0.68452,0.69621,0.33141,2.5052,1.17278,1.04552,0.00106118,0.00106118,0.00106118
54,122.681,1.74995,1.01411,1.15767,0.821,0.7115,0.71997,0.33333,2.57343,1.15717,1.08282,0.0010541,0.0010541,0.0010541
55,125.057,1.73196,1.01662,1.14632,0.82558,0.70617,0.71726,0.36657,2.50374,1.13092,1.06227,0.00104703,0.00104703,0.00104703
56,127.344,1.72294,1.00497,1.14279,0.79971,0.66051,0.65072,0.20629,3.01256,1.23142,1.17117,0.00103995,0.00103995,0.00103995
57,129.527,1.84083,1.01585,1.16453,0.80349,0.71791,0.75034,0.38002,2.33987,1.16812,1.05068,0.00103288,0.00103288,0.00103288
58,131.638,1.76517,1.0435,1.16804,0.77122,0.68412,0.64747,0.25927,2.92582,1.21321,1.12547,0.00102581,0.00102581,0.00102581
59,133.821,1.76281,1.01544,1.15827,0.83463,0.68803,0.69296,0.29706,2.69537,1.14379,1.09775,0.00101873,0.00101873,0.00101873
60,136.071,1.72767,0.98823,1.14458,0.82303,0.72488,0.75535,0.35861,2.34452,1.13693,1.03688,0.00101166,0.00101166,0.00101166
61,138.229,1.68513,0.97977,1.12411,0.78988,0.71514,0.70602,0.27869,2.61567,1.16308,1.07402,0.00100459,0.00100459,0.00100459
62,140.429,1.68031,0.94456,1.09623,0.80765,0.73612,0.76204,0.34739,2.50314,1.17249,1.07028,0.000997513,0.000997513,0.000997513
63,142.555,1.61076,0.94644,1.13318,0.81405,0.71623,0.73386,0.35418,2.51826,1.13398,1.05857,0.00099044,0.00099044,0.00099044
64,144.938,1.68672,0.97329,1.11222,0.81762,0.73657,0.76628,0.38763,2.3677,1.11361,1.04688,0.000983366,0.000983366,0.000983366
65,147.245,1.6496,0.96536,1.11284,0.83575,0.7368,0.75165,0.30796,2.6281,1.1317,1.08391,0.000976293,0.000976293,0.000976293
66,149.503,1.64436,0.90987,1.08786,0.82603,0.74448,0.75996,0.35865,2.40242,1.11951,1.05706,0.000969219,0.000969219,0.000969219
67,151.608,1.62224,0.93631,1.09507,0.82702,0.74111,0.75145,0.29837,2.5955,1.14406,1.08923,0.000962146,0.000962146,0.000962146
68,153.907,1.60224,0.90472,1.10698,0.82123,0.69651,0.69957,0.30047,2.68874,1.14022,1.09374,0.000955072,0.000955072,0.000955072
69,155.929,1.57822,0.88465,1.07909,0.82293,0.73618,0.75909,0.36144,2.36851,1.09837,1.05604,0.000947999,0.000947999,0.000947999
70,157.967,1.57795,0.88986,1.08378,0.77812,0.70872,0.69301,0.29764,2.74793,1.14742,1.08824,0.000940925,0.000940925,0.000940925
71,159.887,1.59055,0.90644,1.11099,0.79229,0.69167,0.6898,0.31144,2.70129,1.13264,1.08216,0.000933851,0.000933851,0.000933851
72,162.191,1.55853,0.91002,1.07959,0.82084,0.73288,0.74473,0.31289,2.57242,1.11573,1.08869,0.000926778,0.000926778,0.000926778
73,164.369,1.58134,0.88819,1.0878,0.83771,0.73605,0.75312,0.35395,2.50314,1.1003,1.0607,0.000919704,0.000919704,0.000919704
74,166.377,1.56336,0.89182,1.11438,0.80872,0.66671,0.67339,0.25828,2.88747,1.20202,1.13254,0.000912631,0.000912631,0.000912631
75,168.439,1.56259,0.87511,1.0681,0.86865,0.73665,0.76522,0.34626,2.51777,1.08342,1.09107,0.000905557,0.000905557,0.000905557
76,170.726,1.54307,0.90509,1.08755,0.82347,0.72335,0.72902,0.26745,2.74895,1.1388,1.13183,0.000898484,0.000898484,0.000898484
