epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4366,4.25221,6.6388,4.12299,0,0,0,0,6.20542,10.1817,4.18142,0.000464425,0.000464425,0.000464425
2,49.9914,3.80743,5.7394,3.74598,0,0,0,0,6.21076,8.98163,4.28745,0.000936102,0.000936102,0.000936102
3,67.4599,3.64335,4.9376,3.5363,0,0,0,0,6.19073,7.50462,4.11973,0.00140306,0.00140306,0.00140306
4,84.9004,3.50538,4.39957,3.31852,0.40917,0.0454,0.24931,0.08327,3.89742,4.09797,2.83977,0.00140778,0.00140778,0.00140778
5,102.623,3.12806,3.89752,3.08247,0.71476,0.09351,0.16518,0.0397,3.5851,3.82826,2.95154,0.00140071,0.00140071,0.00140071
6,119.492,2.93061,3.73357,2.89987,0.53463,0.18666,0.03586,0.00842,3.54012,3.9617,2.60702,0.00139363,0.00139363,0.00139363
7,136.715,2.91687,3.28004,2.78128,0.55734,0.15517,0.19565,0.03274,3.95457,3.5009,2.71307,0.00138656,0.00138656,0.00138656
8,153.582,2.72396,2.939,2.59862,0.41822,0.5494,0.39702,0.19256,3.27601,3.06855,2.30818,0.00137949,0.00137949,0.00137949
9,171.011,2.61648,2.79807,2.42942,0.47783,0.52489,0.50417,0.24267,2.88292,2.3918,1.96875,0.00137241,0.00137241,0.00137241
10,188.539,2.551,2.51345,2.31191,0.42838,0.587,0.50515,0.17454,2.99793,2.33811,2.00597,0.00136534,0.00136534,0.00136534
11,205.386,2.45035,2.34641,2.18414,0.66444,0.60868,0.56004,0.16743,2.99084,2.02036,1.94478,0.00135826,0.00135826,0.00135826
12,222.759,2.41031,2.1142,2.14693,0.66384,0.60482,0.61324,0.30002,2.70425,2.05298,1.79809,0.00135119,0.00135119,0.00135119
13,240.528,2.27567,2.00204,2.03421,0.72507,0.64287,0.67973,0.2819,2.56391,1.82849,1.72291,0.00134412,0.00134412,0.00134412
14,257.59,2.20792,1.95055,2.0042,0.70433,0.6372,0.65262,0.32236,2.51739,1.95453,1.71459,0.00133704,0.00133704,0.00133704
15,275.152,2.16181,1.87056,1.91952,0.66227,0.64901,0.64464,0.29653,2.4314,1.77769,1.64572,0.00132997,0.00132997,0.00132997
16,291.947,2.16692,1.82612,1.87559,0.72921,0.69348,0.70438,0.37101,2.2445,1.65044,1.54609,0.0013229,0.0013229,0.0013229
17,309.14,2.09474,1.68977,1.81183,0.68099,0.62493,0.67153,0.31968,2.42863,1.6144,1.60836,0.00131582,0.00131582,0.00131582
18,326.096,2.01694,1.66177,1.71609,0.73283,0.69388,0.70732,0.31995,2.3538,1.60015,1.54486,0.00130875,0.00130875,0.00130875
19,343.242,1.94916,1.59018,1.74298,0.72111,0.72179,0.70398,0.31336,2.34555,1.43142,1.54402,0.00130168,0.00130168,0.00130168
20,360.082,1.95086,1.49009,1.69334,0.74446,0.70255,0.71074,0.35831,2.39039,1.41117,1.55305,0.0012946,0.0012946,0.0012946
21,377.177,1.9749,1.50836,1.69536,0.74166,0.72105,0.72306,0.34876,2.31234,1.35638,1.49618,0.00128753,0.00128753,0.00128753
22,393.712,1.86315,1.4407,1.63711,0.72782,0.757,0.73705,0.41276,2.04763,1.35065,1.4022,0.00128046,0.00128046,0.00128046
23,411.076,1.88104,1.41043,1.62933,0.70174,0.66587,0.63232,0.35685,2.32448,1.4374,1.50982,0.00127338,0.00127338,0.00127338
24,427.818,1.84226,1.3744,1.58073,0.82453,0.71168,0.75409,0.3705,2.19183,1.33877,1.43845,0.00126631,0.00126631,0.00126631
25,444.584,1.75049,1.34051,1.57527,0.77273,0.69207,0.70721,0.34957,2.35116,1.36396,1.48512,0.00125923,0.00125923,0.00125923
26,461.28,1.8907,1.35545,1.57029,0.77293,0.73557,0.74884,0.33669,2.17627,1.38307,1.43922,0.00125216,0.00125216,0.00125216
27,477.96,1.88661,1.3666,1.57673,0.70741,0.72411,0.70327,0.29544,2.36157,1.42275,1.50931,0.00124509,0.00124509,0.00124509
28,494.838,1.81297,1.31459,1.52691,0.74897,0.69779,0.72818,0.37101,2.20958,1.27626,1.45295,0.00123801,0.00123801,0.00123801
29,511.47,1.7815,1.30125,1.53976,0.7373,0.70828,0.69383,0.41473,2.02338,1.27953,1.34837,0.00123094,0.00123094,0.00123094
30,529.024,1.74838,1.23569,1.47032,0.75153,0.73507,0.75302,0.36811,2.18904,1.27585,1.41218,0.00122387,0.00122387,0.00122387
31,546.036,1.73732,1.17871,1.44608,0.82015,0.71249,0.75334,0.3242,2.20275,1.35447,1.40226,0.00121679,0.00121679,0.00121679
32,562.806,1.70324,1.22666,1.49474,0.77837,0.74285,0.78279,0.38873,2.13059,1.26433,1.39505,0.00120972,0.00120972,0.00120972
33,580.096,1.75061,1.21787,1.4593,0.80071,0.66347,0.67656,0.30253,2.40335,1.37809,1.47648,0.00120265,0.00120265,0.00120265
34,596.981,1.81567,1.23398,1.49157,0.77673,0.73863,0.77655,0.44141,1.85538,1.14101,1.27576,0.00119557,0.00119557,0.00119557
35,615.055,1.69972,1.17882,1.44813,0.81929,0.75893,0.79616,0.39503,2.09343,1.17065,1.36578,0.0011885,0.0011885,0.0011885
36,632.089,1.65669,1.16916,1.46326,0.74962,0.774,0.78971,0.43059,1.8758,1.12987,1.28783,0.00118143,0.00118143,0.00118143
37,649.168,1.61044,1.12309,1.39681,0.89397,0.70535,0.77366,0.4443,1.85091,1.15695,1.28094,0.00117435,0.00117435,0.00117435
38,666.636,1.68137,1.12034,1.40541,0.80491,0.77821,0.7818,0.36715,2.11142,1.18741,1.36215,0.00116728,0.00116728,0.00116728
39,683.565,1.60044,1.10706,1.40077,0.81422,0.7681,0.78568,0.323,2.22561,1.19914,1.41306,0.00116021,0.00116021,0.00116021
40,700.758,1.60703,1.06628,1.3664,0.82699,0.77381,0.81664,0.45425,1.87669,1.09092,1.25956,0.00115313,0.00115313,0.00115313
41,718.602,1.58463,1.02329,1.37937,0.84069,0.74729,0.81513,0.49421,1.71587,1.05121,1.24004,0.00114606,0.00114606,0.00114606
42,736.175,1.6539,1.09299,1.41022,0.81557,0.75251,0.79241,0.38432,2.11714,1.16296,1.34022,0.00113898,0.00113898,0.00113898
43,753.119,1.59743,1.11461,1.39664,0.82588,0.78342,0.82788,0.46731,1.83159,1.05098,1.26367,0.00113191,0.00113191,0.00113191
44,769.884,1.61121,1.0702,1.36027,0.87339,0.74651,0.80711,0.4421,1.96274,1.06143,1.27407,0.00112484,0.00112484,0.00112484
45,786.952,1.60443,1.03758,1.34641,0.86686,0.76675,0.80566,0.43699,2.06355,1.11251,1.31838,0.00111776,0.00111776,0.00111776
46,803.982,1.60216,1.03747,1.35912,0.82604,0.79187,0.81021,0.4442,1.98768,1.11244,1.29993,0.00111069,0.00111069,0.00111069
47,821.271,1.57171,1.01871,1.35235,0.86068,0.78037,0.81534,0.42082,1.95206,1.12079,1.2881,0.00110362,0.00110362,0.00110362
48,837.963,1.53792,1.01623,1.35328,0.87126,0.78497,0.81503,0.36098,2.13482,1.06543,1.3431,0.00109654,0.00109654,0.00109654
49,855.183,1.56753,1.02426,1.37397,0.84177,0.78523,0.80636,0.44311,1.93624,1.08619,1.25691,0.00108947,0.00108947,0.00108947
50,871.888,1.55692,1.02855,1.34888,0.8397,0.77133,0.81053,0.41518,2.01228,1.07579,1.31581,0.0010824,0.0010824,0.0010824
51,888.963,1.56146,1.02428,1.35943,0.85176,0.77738,0.79415,0.39958,2.06718,1.10814,1.28107,0.00107532,0.00107532,0.00107532
