epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.6645,1.19016,0.7324,0.86204,0.87269,0.80195,0.8307,0.50306,1.75594,1.02562,0.86404,0.00113898,0.00113898,0.00113898
43,99.7932,1.15913,0.74004,0.86278,0.87086,0.78326,0.81799,0.45825,1.97059,1.10273,0.9017,0.00113191,0.00113191,0.00113191
44,101.915,1.19309,0.73916,0.86106,0.87844,0.79083,0.83427,0.52595,1.64015,0.98284,0.85214,0.00112484,0.00112484,0.00112484
45,104.014,1.16547,0.7349,0.85948,0.88566,0.76484,0.8004,0.4066,2.08405,1.06803,0.93975,0.00111776,0.00111776,0.00111776
46,106.367,1.13031,0.73547,0.861,0.88541,0.77619,0.82428,0.49431,1.8223,0.96812,0.87939,0.00111069,0.00111069,0.00111069
47,108.542,1.16017,0.73993,0.87278,0.8666,0.79172,0.82519,0.48986,1.81544,0.97024,0.88548,0.00110362,0.00110362,0.00110362
48,110.742,1.14154,0.73378,0.85007,0.89379,0.7882,0.82796,0.51468,1.8083,0.94864,0.8862,0.00109654,0.00109654,0.00109654
49,112.64,1.11376,0.7193,0.86135,0.87128,0.78201,0.82482,0.5108,1.8568,1.00692,0.8961,0.00108947,0.00108947,0.00108947
50,114.759,1.1294,0.71108,0.86024,0.90187,0.76117,0.81782,0.45283,1.91985,0.99208,0.88471,0.0010824,0.0010824,0.0010824
51,116.911,1.14501,0.71384,0.85961,0.91747,0.75897,0.81597,0.4818,1.86239,1.00176,0.88475,0.00107532,0.00107532,0.00107532
52,119.199,1.15055,0.69352,0.84335,0.89121,0.74872,0.79763,0.47236,1.95447,1.00531,0.89756,0.00106825,0.00106825,0.00106825
53,121.265,1.13427,0.69942,0.84969,0.90756,0.77076,0.83148,0.50768,1.77385,0.94891,0.89277,0.00106118,0.00106118,0.00106118
54,123.235,1.13512,0.71307,0.8623,0.88704,0.77211,0.83125,0.49881,1.78446,0.94373,0.87272,0.0010541,0.0010541,0.0010541
55,125.3,1.12884,0.70175,0.85881,0.85824,0.80991,0.83895,0.50324,1.75119,0.94128,0.87154,0.00104703,0.00104703,0.00104703
56,127.555,1.12837,0.70743,0.86062,0.8904,0.77157,0.80899,0.4538,2.02998,0.98311,0.90658,0.00103995,0.00103995,0.00103995
57,129.665,1.16885,0.70917,0.84926,0.90754,0.78618,0.84459,0.53235,1.7004,0.93827,0.86924,0.00103288,0.00103288,0.00103288
58,131.969,1.18451,0.73403,0.86575,0.86382,0.77615,0.79986,0.43371,2.08752,0.98085,0.90351,0.00102581,0.00102581,0.00102581
59,133.935,1.17433,0.70258,0.86486,0.86646,0.81202,0.84408,0.49893,1.7873,0.91508,0.87671,0.00101873,0.00101873,0.00101873
60,135.986,1.13824,0.69549,0.86053,0.89296,0.80222,0.86536,0.551,1.633,0.87804,0.85902,0.00101166,0.00101166,0.00101166
61,138.194,1.14232,0.68038,0.86597,0.86705,0.80621,0.84754,0.51711,1.76759,0.95195,0.88902,0.00100459,0.00100459,0.00100459
62,140.479,1.10477,0.66449,0.85505,0.92113,0.78524,0.85174,0.53959,1.67484,0.91012,0.85868,0.000997513,0.000997513,0.000997513
63,142.629,1.0666,0.65826,0.85777,0.88981,0.80206,0.8426,0.49626,1.79489,0.90757,0.88605,0.00099044,0.00099044,0.00099044
64,144.86,1.1706,0.69138,0.85933,0.87921,0.80365,0.84243,0.49668,1.77301,0.92431,0.88217,0.000983366,0.000983366,0.000983366
65,146.88,1.15824,0.68193,0.86598,0.91664,0.77594,0.84151,0.52058,1.74775,0.91237,0.86291,0.000976293,0.000976293,0.000976293
66,149.031,1.12597,0.67209,0.84907,0.88572,0.77445,0.83101,0.51658,1.73455,0.94069,0.88136,0.000969219,0.000969219,0.000969219
67,151.181,1.10783,0.68179,0.85457,0.9207,0.77667,0.83813,0.50581,1.79585,0.91924,0.88556,0.000962146,0.000962146,0.000962146
68,153.241,1.07395,0.65578,0.85726,0.89447,0.81056,0.85713,0.53937,1.6416,0.86469,0.86555,0.000955072,0.000955072,0.000955072
69,155.431,1.078,0.64501,0.84678,0.85959,0.80452,0.85171,0.53615,1.60903,0.87167,0.86773,0.000947999,0.000947999,0.000947999
70,157.596,1.09911,0.6512,0.85217,0.89721,0.78791,0.85138,0.54115,1.72252,0.86839,0.87913,0.000940925,0.000940925,0.000940925
71,159.608,1.09142,0.65695,0.85376,0.90373,0.78076,0.84659,0.52354,1.70476,0.89703,0.87453,0.000933851,0.000933851,0.000933851
72,161.853,1.10377,0.66191,0.85111,0.85279,0.78995,0.83328,0.53909,1.72451,0.91541,0.89199,0.000926778,0.000926778,0.000926778
73,163.95,1.11846,0.65271,0.84955,0.87155,0.7443,0.78766,0.50065,1.78174,0.9418,0.90793,0.000919704,0.000919704,0.000919704
74,166.161,1.06725,0.63457,0.85176,0.90848,0.77258,0.83706,0.50605,1.78421,0.87439,0.88394,0.000912631,0.000912631,0.000912631
75,168.342,1.13999,0.64503,0.85158,0.91687,0.77763,0.84269,0.53599,1.67484,0.87452,0.87819,0.000905557,0.000905557,0.000905557
76,170.458,1.0433,0.63964,0.84405,0.90218,0.77198,0.82096,0.51271,1.69663,0.88072,0.88585,0.000898484,0.000898484,0.000898484
77,172.57,1.06292,0.63669,0.84589,0.90425,0.78865,0.84852,0.53434,1.63879,0.87276,0.86762,0.00089141,0.00089141,0.00089141
78,174.767,1.05607,0.62869,0.84553,0.90678,0.78781,0.85602,0.53318,1.64935,0.86498,0.86751,0.000884337,0.000884337,0.000884337
79,176.859,1.05687,0.62756,0.84171,0.89243,0.81392,0.85438,0.52239,1.69262,0.85875,0.87387,0.000877263,0.000877263,0.000877263
80,178.915,1.06302,0.63276,0.83711,0.89657,0.79526,0.84372,0.54163,1.65264,0.86701,0.87886,0.00087019,0.00087019,0.00087019
81,181.064,1.04444,0.6258,0.84149,0.88326,0.8032,0.84114,0.53459,1.68704,0.88128,0.88681,0.000863116,0.000863116,0.000863116
82,183.188,1.07671,0.61268,0.84111,0.87511,0.81293,0.84842,0.52788,1.75647,0.88685,0.87438,0.000856042,0.000856042,0.000856042
83,185.461,0.9974,0.6108,0.84125,0.93113,0.7688,0.84925,0.53514,1.67422,0.88017,0.87261,0.000848969,0.000848969,0.000848969
84,187.618,1.08395,0.61558,0.84754,0.92461,0.77016,0.8468,0.52684,1.68721,0.86724,0.87252,0.000841895,0.000841895,0.000841895
85,189.863,1.07135,0.61577,0.8403,0.90038,0.80175,0.84825,0.51841,1.6798,0.86714,0.86727,0.000834822,0.000834822,0.000834822
86,192.064,1.08312,0.60962,0.83918,0.90513,0.82063,0.85754,0.48908,1.86111,0.89595,0.89118,0.000827748,0.000827748,0.000827748
87,194.21,1.0401,0.61635,0.8444,0.89298,0.81478,0.85263,0.51819,1.75209,0.86973,0.87895,0.000820675,0.000820675,0.000820675
88,196.477,1.07749,0.62985,0.85143,0.90538,0.7962,0.85529,0.52335,1.64036,0.86173,0.85773,0.000813601,0.000813601,0.000813601
89,198.692,1.0444,0.62765,0.84005,0.87917,0.81013,0.85224,0.47909,1.84546,0.9034,0.88397,0.000806528,0.000806528,0.000806528
90,200.849,1.04016,0.62661,0.84459,0.90887,0.80754,0.85897,0.5293,1.661,0.84385,0.8688,0.000799454,0.000799454,0.000799454
91,202.871,1.04053,0.60056,0.83458,0.89746,0.80606,0.85107,0.54298,1.63905,0.85417,0.86302,0.00079238,0.00079238,0.00079238
92,205.087,0.98187,0.58451,0.83852,0.88417,0.80365,0.84432,0.52691,1.6625,0.90732,0.87118,0.000785307,0.000785307,0.000785307
93,207.199,0.99579,0.59909,0.84143,0.89386,0.80176,0.85071,0.54867,1.61352,0.84019,0.85775,0.000778233,0.000778233,0.000778233
94,209.494,1.03436,0.61398,0.84531,0.89719,0.79978,0.84536,0.50706,1.71751,0.86984,0.86865,0.00077116,0.00077116,0.00077116
95,211.603,1.0029,0.5894,0.83881,0.90182,0.80327,0.85494,0.53537,1.64547,0.87002,0.86293,0.000764086,0.000764086,0.000764086
96,213.88,1.03717,0.58964,0.83524,0.8881,0.80408,0.86131,0.54534,1.63023,0.84018,0.85401,0.000757013,0.000757013,0.000757013
97,216.078,0.99534,0.58396,0.84243,0.90573,0.79885,0.85401,0.50782,1.74523,0.85837,0.87055,0.000749939,0.000749939,0.000749939
98,218.268,1.04774,0.60751,0.84146,0.8866,0.81285,0.86042,0.55657,1.59187,0.82868,0.85756,0.000742866,0.000742866,0.000742866
99,220.447,1.04288,0.60459,0.85635,0.88606,0.80232,0.86227,0.54309,1.6408,0.85995,0.86364,0.000735792,0.000735792,0.000735792
100,222.475,0.98964,0.5937,0.83855,0.90431,0.80093,0.85543,0.54956,1.66511,0.83886,0.87187,0.000728719,0.000728719,0.000728719
101,224.69,1.02706,0.59649,0.84539,0.91747,0.79837,0.85752,0.53454,1.69009,0.84165,0.87089,0.000721645,0.000721645,0.000721645
102,226.913,1.00034,0.58838,0.84698,0.92164,0.79746,0.86212,0.54808,1.62994,0.82295,0.86632,0.000714571,0.000714571,0.000714571
103,229.028,1.00076,0.5788,0.83495,0.87299,0.80968,0.86132,0.54698,1.62459,0.83508,0.87199,0.000707498,0.000707498,0.000707498
